"id","sku","name","category_id","description","image_urls","mrp","status","created_by","updated_by","created_at","updated_at","per_unit_mrp_price","unit_type","per_unit_selling_price","unit_value","selling_price","category_brand_index_id","is_active","discount","category_name"
1,"ADH1","FEVICOL SH  1 KG",1,"This is an adhesive SKU","[""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-665_1.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-665_2.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-665_3.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-665_4.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-665_5.jpg""]",NULL,"Active",24385,24385,"2025-06-10 03:39:32","2025-06-12 09:54:02",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,"Adhesives"
2,"ADH2","FEVICOL SH  2 KG",1,"This is an adhesive SKU","[""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-666_1.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-666_2.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-666_3.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-666_4.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-666_5.jpg""]",NULL,"Active",24385,24385,"2025-06-10 03:39:32","2025-06-12 09:54:07",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,"Adhesives"
3,"ADH3","FEVICOL SH  5 KG",1,"This is an adhesive SKU","[""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-667_1.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-667_2.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-667_3.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-667_4.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-667_5.jpg""]",NULL,"Active",24385,24385,"2025-06-10 03:39:32","2025-06-12 09:54:11",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,"Adhesives"
4,"ADH4","FEVICOL SH  10 KG",1,"This is an adhesive SKU","[""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-668_1.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-668_2.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-668_3.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-668_4.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-668_5.jpg""]",NULL,"Active",24385,24385,"2025-06-10 03:39:32","2025-06-12 09:54:20",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,"Adhesives"
5,"ADH5","FEVICOL SH  20 KG",1,"This is an adhesive SKU","[""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-669_1.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-669_2.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-669_3.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-669_4.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-669_5.jpg""]",NULL,"Active",24385,24385,"2025-06-10 03:39:32","2025-06-12 09:54:32",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,"Adhesives"
6,"ADH6","FEVICOL SH  30 KG",1,"This is an adhesive SKU","[""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-670_1.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-670_2.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-670_3.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-670_4.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-670_5.jpg""]",NULL,"Active",24385,24385,"2025-06-10 03:39:32","2025-06-12 09:54:38",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,"Adhesives"
7,"ADH7","FEVICOL SH  50 KG",1,"This is an adhesive SKU","[""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-671_1.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-671_2.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-671_3.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-671_4.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-671_5.jpg""]",NULL,"Active",24385,24385,"2025-06-10 03:39:32","2025-06-12 09:54:43",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,"Adhesives"
8,"ADH8","FEVICOL SH  60 KG",1,"This is an adhesive SKU","[""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-672_1.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-672_2.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-672_3.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-672_4.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-672_5.jpg""]",NULL,"Active",24385,24385,"2025-06-10 03:39:32","2025-06-12 09:54:48",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,"Adhesives"
9,"ADH9","FEVICOL Marine 1 KG",1,"This is an adhesive SKU","[""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-673_1.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-673_2.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-673_3.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-673_4.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-673_5.jpg""]",NULL,"Active",24385,24385,"2025-06-10 03:39:32","2025-06-12 09:54:53",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,"Adhesives"
10,"ADH10","FEVICOL Marine 2 KG",1,"This is an adhesive SKU","[""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-674_1.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-674_2.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-674_3.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-674_4.jpg"", ""https://solsticeprod.s3.ap-south-1.amazonaws.com/catalogue/category/adhesives/product/CX-Adhesivies-674_5.jpg""]",NULL,"Active",24385,24385,"2025-06-10 03:39:32","2025-06-12 09:54:58",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,"Adhesives"
